Francês,Português
je,EU
de,de
est,Leste
pas,não
le,O
vous,VOCÊ
la,lá
tu,você
que,que
un,A
il,ele
et,E
à,tem
a,tem
ne,nascer
les,O
ce,Esse
en,em
on,nós
ça,Que
une,a
ai,ter
pour,Para
des,do
moi,Meu
qui,Quem
nous,Nós
mais,mas
me,meu
dans,Em
du,de
bien,BOM
elle,Ela
si,se
tout,Todos
plus,mais
non,Não
mon,Meu
te,você
au,No
avec,com
va,ir
oui,Sim
toi,Você
fait,fazer
ils,eles
as,ás
être,ser
faire,PENDÊNCIA
se,se
comme,como
sur,sobre
quoi,O que
ici,aqui
sais,saber
lui,ele
veux,querer
ma,meu
là,lá
rien,Nada
dit,disse
es,são
où,Ou
votre,seu
pourquoi,Por que
sont,são
cette,esse
quand,Quando
par,por
son,dela
ton,seu
peux,pode
vais,ir
dire,dizer
alors,ENTÃO
comment,como
avez,ter
bon,Bom
ou,Ou
très,muito
merci,OBRIGADO
ont,ter
même,até
jamais,Nunca
aussi,Também
voir,ver
chose,coisa
allez,Prossiga
tous,todos
deux,dois
ces,esses
faut,deve
sa,dela
êtes,são
été,verão
ta,seu
fais,fazer 
